inference_id,drug_a_id,drug_b_id,drug_pair_id,evidence_status,confidence_score,confidence_level,ddi_evidence_present,ddi_forward_count,ddi_reverse_count,combination_event_present,combination_event_count,identity_status,inference_rule,clinical_interpretation
INF_0000011,DRUG_000383,DRUG_000302,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000012,DRUG_001293,DRUG_000302,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000013,DRUG_001178,DRUG_000302,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000014,DRUG_000015,DRUG_000302,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000015,DRUG_000623,DRUG_000302,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000016,DRUG_001438,DRUG_001662,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000017,DRUG_001438,DRUG_000263,NONE,DDI_EVIDENCE_ONLY,0.65,AMBIGUOUS_EVIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + AMBIGUOUS_MAPPING_COMPONENT,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000018,DRUG_000485,DRUG_001267,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000019,DRUG_000886,DRUG_001267,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000020,DRUG_000231,DRUG_000350,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000021,DRUG_001520,DRUG_000861,NONE,DDI_EVIDENCE_ONLY,0.73,MODERATE_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000022,DRUG_000843,DRUG_000931,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000023,DRUG_000231,DRUG_000304,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000024,DRUG_001438,DRUG_000540,NONE,DDI_EVIDENCE_ONLY,0.65,AMBIGUOUS_EVIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + AMBIGUOUS_MAPPING_COMPONENT,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000025,DRUG_001089,DRUG_000613,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000026,DRUG_000767,DRUG_000176,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000027,DRUG_000274,DRUG_000608,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000028,DRUG_000231,DRUG_000485,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000029,DRUG_001089,DRUG_000335,PAIR_DRUG_000335__DRUG_001089,CONVERGENT_SAFETY_EVIDENCE,1.0,HIGH_EVIDENCE_CONFIDENCE,True,1,0,True,42,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_CONVERGENT_SAFETY_EVIDENCE,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000030,DRUG_001438,DRUG_001089,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000031,DRUG_001270,DRUG_000035,NONE,DDI_EVIDENCE_ONLY,0.65,AMBIGUOUS_EVIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + AMBIGUOUS_MAPPING_COMPONENT,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000032,DRUG_001520,DRUG_001335,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000033,DRUG_001089,DRUG_000749,PAIR_DRUG_000749__DRUG_001089,CONVERGENT_SAFETY_EVIDENCE,1.0,HIGH_EVIDENCE_CONFIDENCE,True,1,0,True,59,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_CONVERGENT_SAFETY_EVIDENCE,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000034,DRUG_000231,DRUG_000071,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000035,DRUG_000209,DRUG_000815,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000036,DRUG_000767,DRUG_000485,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000037,DRUG_000350,DRUG_001267,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000038,DRUG_001520,DRUG_001053,NONE,DDI_EVIDENCE_ONLY,0.73,MODERATE_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000039,DRUG_000130,DRUG_001002,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000040,DRUG_000767,DRUG_000861,NONE,DDI_EVIDENCE_ONLY,0.73,MODERATE_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000041,DRUG_000209,DRUG_000931,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000042,DRUG_001438,DRUG_000227,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000043,DRUG_000227,DRUG_001267,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000044,DRUG_001089,DRUG_000814,PAIR_DRUG_000814__DRUG_001089,CONVERGENT_SAFETY_EVIDENCE,1.0,HIGH_EVIDENCE_CONFIDENCE,True,1,0,True,64,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_CONVERGENT_SAFETY_EVIDENCE,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000045,DRUG_000474,DRUG_001267,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000046,DRUG_001438,DRUG_000861,NONE,DDI_EVIDENCE_ONLY,0.73,MODERATE_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000047,DRUG_001142,DRUG_001267,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000048,DRUG_001520,DRUG_000264,NONE,DDI_EVIDENCE_ONLY,0.65,AMBIGUOUS_EVIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + AMBIGUOUS_MAPPING_COMPONENT,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000049,DRUG_001438,DRUG_000725,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000050,DRUG_001520,DRUG_001622,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000051,DRUG_000274,DRUG_001002,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000052,DRUG_000588,DRUG_001267,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000053,DRUG_000767,DRUG_000540,NONE,DDI_EVIDENCE_ONLY,0.65,AMBIGUOUS_EVIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + AMBIGUOUS_MAPPING_COMPONENT,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000054,DRUG_001438,DRUG_000588,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000055,DRUG_001738,DRUG_000616,PAIR_DRUG_000616__DRUG_001738,COMBINATION_EVENT_EVIDENCE_ONLY,0.73,MODERATE_EVIDENCE_CONFIDENCE,False,0,0,True,56,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000056,DRUG_000992,DRUG_000983,PAIR_DRUG_000983__DRUG_000992,COMBINATION_EVENT_EVIDENCE_ONLY,0.7,MODERATE_EVIDENCE_CONFIDENCE,False,0,0,True,12,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000057,DRUG_000422,DRUG_000150,PAIR_DRUG_000150__DRUG_000422,COMBINATION_EVENT_EVIDENCE_ONLY,0.7,MODERATE_EVIDENCE_CONFIDENCE,False,0,0,True,24,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000058,DRUG_000592,DRUG_000614,PAIR_DRUG_000592__DRUG_000614,COMBINATION_EVENT_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,False,0,0,True,134,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000059,DRUG_000258,DRUG_001786,PAIR_DRUG_000258__DRUG_001786,COMBINATION_EVENT_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,False,0,0,True,54,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000060,DRUG_000936,DRUG_000490,PAIR_DRUG_000490__DRUG_000936,COMBINATION_EVENT_EVIDENCE_ONLY,0.7,MODERATE_EVIDENCE_CONFIDENCE,False,0,0,True,45,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000061,DRUG_001779,DRUG_000688,PAIR_DRUG_000688__DRUG_001779,COMBINATION_EVENT_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,False,0,0,True,144,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000062,DRUG_000399,DRUG_001810,PAIR_DRUG_000399__DRUG_001810,COMBINATION_EVENT_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,False,0,0,True,64,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000063,DRUG_000082,DRUG_000535,PAIR_DRUG_000082__DRUG_000535,CONVERGENT_SAFETY_EVIDENCE,1.0,HIGH_EVIDENCE_CONFIDENCE,True,1,0,True,36,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_CONVERGENT_SAFETY_EVIDENCE,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000064,DRUG_000840,DRUG_001831,PAIR_DRUG_000840__DRUG_001831,COMBINATION_EVENT_EVIDENCE_ONLY,0.73,MODERATE_EVIDENCE_CONFIDENCE,False,0,0,True,59,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000065,DRUG_000964,DRUG_000872,PAIR_DRUG_000872__DRUG_000964,COMBINATION_EVENT_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,False,0,0,True,56,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000066,DRUG_000768,DRUG_000334,PAIR_DRUG_000334__DRUG_000768,COMBINATION_EVENT_EVIDENCE_ONLY,0.7,MODERATE_EVIDENCE_CONFIDENCE,False,0,0,True,17,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000067,DRUG_001180,DRUG_000559,PAIR_DRUG_000559__DRUG_001180,COMBINATION_EVENT_EVIDENCE_ONLY,0.6,MODERATE_EVIDENCE_CONFIDENCE,False,0,0,True,4,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000068,DRUG_000021,DRUG_000993,PAIR_DRUG_000021__DRUG_000993,COMBINATION_EVENT_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,False,0,0,True,73,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000069,DRUG_000775,DRUG_000715,PAIR_DRUG_000715__DRUG_000775,COMBINATION_EVENT_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,False,0,0,True,195,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000070,DRUG_000262,DRUG_000273,PAIR_DRUG_000262__DRUG_000273,CONVERGENT_SAFETY_EVIDENCE,1.0,HIGH_EVIDENCE_CONFIDENCE,True,0,1,True,85,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_CONVERGENT_SAFETY_EVIDENCE,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000071,DRUG_001758,DRUG_000054,PAIR_DRUG_000054__DRUG_001758,COMBINATION_EVENT_EVIDENCE_ONLY,0.63,MODERATE_EVIDENCE_CONFIDENCE,False,0,0,True,33,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
