prescription_id,finding_id,pair_index,drug_a_id,drug_b_id,drug_a_name,drug_b_name,evidence_status,evidence_priority,confidence_level,confidence_score,ddi_present,ddi_count,events_present,event_count,inference_id,rule_fired,supporting_edge_ids,source_record_ids
RX_005_MIXED_AND_DUPLICATES,FIND_0001,1,DRUG_000048,DRUG_000006,Fluconazole,cyclosporine,CONVERGENT_SAFETY_EVIDENCE,CRITICAL_EVIDENCE_PRIORITY,HIGH_EVIDENCE_CONFIDENCE,0.93,True,1,True,202,INF_0000011,RULE_CONVERGENT_SAFETY_EVIDENCE,"['E_DDI_166133', 'E_SE_02061836', 'E_SE_02061837', 'E_SE_02061838', 'E_SE_02061839', 'E_SE_02061840']","['DDI:DB00091:DB00196', 'TWOSIDES_EVENT:CID000002909:CID000003365:342', 'TWOSIDES_EVENT:CID000002909:CID000003365:584', 'TWOSIDES_EVENT:CID000002909:CID000003365:1127', 'TWOSIDES_EVENT:CID000002909:CID000003365:953', 'TWOSIDES_EVENT:CID000002909:CID000003365:750']"
RX_006_UNRESOLVED_AND_NEGATIVE,FIND_0001,1,DRUG_000001,DRUG_000002,bivalirudin,goserelin,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.4,False,0,False,0,INF_0000012,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
RX_007_FIVE_DRUGS,FIND_0006,6,DRUG_000006,DRUG_000048,cyclosporine,Fluconazole,CONVERGENT_SAFETY_EVIDENCE,CRITICAL_EVIDENCE_PRIORITY,HIGH_EVIDENCE_CONFIDENCE,0.93,True,1,True,202,INF_0000018,RULE_CONVERGENT_SAFETY_EVIDENCE,"['E_DDI_166133', 'E_SE_02061836', 'E_SE_02061837', 'E_SE_02061838', 'E_SE_02061839', 'E_SE_02061840']","['DDI:DB00091:DB00196', 'TWOSIDES_EVENT:CID000002909:CID000003365:342', 'TWOSIDES_EVENT:CID000002909:CID000003365:584', 'TWOSIDES_EVENT:CID000002909:CID000003365:1127', 'TWOSIDES_EVENT:CID000002909:CID000003365:953', 'TWOSIDES_EVENT:CID000002909:CID000003365:750']"
RX_007_FIVE_DRUGS,FIND_0001,1,DRUG_000001,DRUG_000006,bivalirudin,cyclosporine,DDI_EVIDENCE_ONLY,HIGH_EVIDENCE_PRIORITY,HIGH_EVIDENCE_CONFIDENCE,0.8,True,1,False,0,INF_0000013,RULE_DDI_EVIDENCE_ONLY,['E_DDI_172962'],['DDI:DB00091:DB00006']
RX_007_FIVE_DRUGS,FIND_0008,8,DRUG_000045,DRUG_000048,Phentermine,Fluconazole,COMBINATION_EVENT_EVIDENCE_ONLY,MODERATE_EVIDENCE_PRIORITY,MODERATE_EVIDENCE_CONFIDENCE,0.65,False,0,True,75,INF_0000020,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,"['E_SE_01192345', 'E_SE_01192346', 'E_SE_01192347', 'E_SE_01192348', 'E_SE_01192349']","['TWOSIDES_EVENT:CID000003365:CID000004771:1244', 'TWOSIDES_EVENT:CID000003365:CID000004771:253', 'TWOSIDES_EVENT:CID000003365:CID000004771:121', 'TWOSIDES_EVENT:CID000003365:CID000004771:926', 'TWOSIDES_EVENT:CID000003365:CID000004771:85']"
RX_007_FIVE_DRUGS,FIND_0004,4,DRUG_000001,DRUG_001202,bivalirudin,trioxsalen,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.4,False,0,False,0,INF_0000016,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
RX_007_FIVE_DRUGS,FIND_0007,7,DRUG_000006,DRUG_001202,cyclosporine,trioxsalen,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.4,False,0,False,0,INF_0000019,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
RX_007_FIVE_DRUGS,FIND_0002,2,DRUG_000001,DRUG_000045,bivalirudin,Phentermine,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000014,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
RX_007_FIVE_DRUGS,FIND_0003,3,DRUG_000001,DRUG_000048,bivalirudin,Fluconazole,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000015,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
RX_007_FIVE_DRUGS,FIND_0005,5,DRUG_000006,DRUG_000045,cyclosporine,Phentermine,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000017,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
RX_007_FIVE_DRUGS,FIND_0009,9,DRUG_000045,DRUG_001202,Phentermine,trioxsalen,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000021,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
RX_007_FIVE_DRUGS,FIND_0010,10,DRUG_000048,DRUG_001202,Fluconazole,trioxsalen,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000022,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
